Splicing Factor	Gene	Aliases	GeneID	HomoloGene	Uniprot	Binding Domain(s)	MIM	Protein Interactors	Chemical Interactors	Expression	CLIP	
hnRNP I (PTB)	PTBP1	polypyrimidine tract binding protein 1, PTB, PTB2, PTB3, PTB4, pPTB, PTB-1, PTB-T, MGC8461, MGC10830, HNRPI, HNRNPI, HNRNP-I.	5725	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=5725	P26599	4 RRM (RNA recognition motif) domains		ARRB2, GABARAP, GABARAPL1, GABARAPL2, HMGA1, MAP1LC3A, MAP1LC3B, MED10, MED19, MED29, MYC, PCBP1, PCBP3, QKI, SFPQ (IntAct Database); HNRNPL, SFPQ (STRING Database); CDC5L, ELAVL1, HNRNPAB, HNRNPD, NPM1, PCBP1, PCBP3, QKI, RBM10, RBM9, SFPQ, SNRPA, SNW1, YWHAZ, ZMYM2 (MINT Database); CALCOCO2, CASP3, FUS, HNRNPL, PCBP1, PCBP2, PCBP3, PRKACA, QKI, RAVER1, RAVER2, SFPQ, SNRPA, ZMYM2 (HPRD Database, Direct); CAPRIN1, CLP1, CPSF6, ELAVL1, ELAVL2, ELAVL3, ELAVL4, FMR1, FUBP1, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, KHSRP, MRE11A, NCL, NUDT21, PABPC1, PCF11, PRPF8, RBMX, SF3B2, SFPQ, STAU1, SYNCRIP, TJP1, U2AF1, U2AF2, UPF1 (HPRD Database, Complex); APBB1, CALCOCO2, HDAC5, HNRNPK, HNRNPL, KIAA0101, PCBP2, PSMA3, PTBP1, RAVER1, SAP25, SFPQ, SMARCAD1, SNRPA, SRRM1, SUMO1, SUMO2, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=172550&LLNO=5725,http://www.proteinatlas.org/ENSG00000011304,http://www.hprd.org/summary?hprd_id=02823&isoform_id=02823_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=274,1200,7930,54879,55091,55536,55847,60632,66592,66804,67249,67560,72345,77900,79183,83646,85525,87927,100294,104361,120416,122159,124681&ptm_id=7812,7813,11825,11826,11827,11828,11829,11830,11831,11832,11833,11836,11839&loc_id=11,	http://fairbrother.biomed.brown.edu/data/SelexMap/Figure2A/PTB_oligos.bed[PMID:19861426], http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19323[PMID:20064465],	
hnRNP J	HNRNPK	heterogeneous nuclear ribonucleoprotein K, CSBP, TUNP, HNRPK, FLJ41122	3190	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3190	P61978	3 KH domains		ARRB1, ARRB2, BTRC, CDKN1A, CNNM3, DIDO1, EGFR, ESR1, GABARAP, GABARAPL1, GABARAPL2, GFI1B, GRAP2, GRB2, HCK, KHDRBS1, KHDRBS2, KHDRBS3, MAP1LC3A, MAP1LC3B, MAPK13, MATR3, MDM2, MYC, NCK2, NPDC1, PCBP1, PELI2, QKI, RBM41, RBM42, RBM7, RBMX, SMAD3, SORBS3, TOB1, TOP1, TP63, UBE2I (IntAct Database); HNRNPH1, HNRNPL, KHDRBS2, PRMT1, RBMX, SF3A2, SRC, VAV1 (STRING Database); CCAR1, CDC5L, CIRBP, CTNNBL1, DDX17, DDX5, DHX9, ELAVL1, GFI1B, HNRNPA0, HNRNPD, KHDRBS1, KHDRBS3, PABPC1, PCBP1, PRMT2, PRMT3, RALY, RBM10, RBM4, RBM42, RBM9, RBMX, SF1, SF3A2, SNRPA, SNW1, SRRT, SYNCRIP, U2AF2, YWHAZ (MINT Database); C20orf158, CEBPB, CNNM3, CSK, DDX1, FYN, GFI1B, GRAP2, HCK, HMGB1, HNRNPL, ITK, KHDRBS1, KHDRBS2, KHDRBS3, LYN, MAPK10, MATR3, NCK2, NPDC1, PCBP1, PCBP2, PRKCD, PRMT1, QKI, RBM7, RBM41, RBM42, RBMX, SAFB, SFRS3, SFRS12, SORBS3, SRC, TBP, UBE2I, VAV1, YBX1 (HPRD Database, Direct); AMOTL1, ARID1A, C19orf2, CAD, CHTF18, CPSF1, CPSF6, DDX17, DDX23, DDX3X, DDX5, DHX30, DHX9, DIAPH1, EFTUD2, ELAVL1, ELAVL2, ELAVL3, ELAVL4, EPRS, FBL, FMR1, GNB2L1, GRINL1A, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPAB, HNRNPC, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPL, HNRNPR, HNRNPU, HNRNPUL1, MKI67, NAT10, NCL, NEDD4, NOLC1, NONO, NOP2, NPM1, NUDT21, PABPC1, PARP1, PIAS1, POLR2A, POLR2B, POLR2C, POLR2E, POLR3A, PRKDC, PRPF8, PTBP1, RAPGEF2, RBMX, RPAP2, RPAP3, RPS3A, SF3B1, SF3B2, SF3B3, SFPQ, SFRS1, SFRS7, SMARCC1, SNRNP200, SNRPA1, STAU1, SYNCRIP, TCOF1, THRAP3, TOP1, TOP2A, UPF1, WBP2, YBX1 (HPRD Database, Complex); APBB1, C20ORF20, CDK9, CEBPB, CNNM3, CSK, DDX1, DIDO1, EMD, GRAP2, GRB2, H3F3A, HMGB1, HNRNPA1, HNRNPH1, HNRNPK, HNRNPL, ITK, KHDRBS1, KHDRBS2, KHDRBS3, KIAA0101, MATR3, MEPCE, MORF4L1, MORF4L2, MYC, NCK2, NEDD4, NPDC1, PABPC1, PCBP2, PIN1, POU5F1, PRMT1, PRPF40A, PTBP1, QKI, RBM7, RBM41, RBM42, RBMX, SMARCAD1, SORBS3, SREK1, SUMO1, SUMO2, TCEA2, TCERG1, TOP1, UBC, UBE2I, VAV1, VHL, WBP4, WWOX, YWHAQ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=522257&LLNO=3190,http://www.proteinatlas.org/ENSG00000165119,http://www.hprd.org/summary?hprd_id=02834&isoform_id=02834_3&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=229,775,7596,54930,55209,55354,55620,57747,58389,58628,59217,59401,59451,59591,61214,61755,66643,66922,67067,67333,69460,70102,70341,70930,71114,71164,71304,72927,73468,74991,75639,76474,77215,78456,80922,83053,84781,87540,100219,1,		
hnRNP K	HNRNPK	heterogeneous nuclear ribonucleoprotein K, CSBP, TUNP, HNRPK, FLJ41122	3190	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3190	P61978	3 KH domains		ARRB1, ARRB2, BTRC, CDKN1A, CNNM3, DIDO1, EGFR, ESR1, GABARAP, GABARAPL1, GABARAPL2, GFI1B, GRAP2, GRB2, HCK, KHDRBS1, KHDRBS2, KHDRBS3, MAP1LC3A, MAP1LC3B, MAPK13, MATR3, MDM2, MYC, NCK2, NPDC1, PCBP1, PELI2, QKI, RBM41, RBM42, RBM7, RBMX, SMAD3, SORBS3, TOB1, TOP1, TP63, UBE2I (IntAct Database); HNRNPH1, HNRNPL, KHDRBS2, PRMT1, RBMX, SF3A2, SRC, VAV1 (STRING Database); CCAR1, CDC5L, CIRBP, CTNNBL1, DDX17, DDX5, DHX9, ELAVL1, GFI1B, HNRNPA0, HNRNPD, KHDRBS1, KHDRBS3, PABPC1, PCBP1, PRMT2, PRMT3, RALY, RBM10, RBM4, RBM42, RBM9, RBMX, SF1, SF3A2, SNRPA, SNW1, SRRT, SYNCRIP, U2AF2, YWHAZ (MINT Database); C20orf158, CEBPB, CNNM3, CSK, DDX1, FYN, GFI1B, GRAP2, HCK, HMGB1, HNRNPL, ITK, KHDRBS1, KHDRBS2, KHDRBS3, LYN, MAPK10, MATR3, NCK2, NPDC1, PCBP1, PCBP2, PRKCD, PRMT1, QKI, RBM7, RBM41, RBM42, RBMX, SAFB, SFRS3, SFRS12, SORBS3, SRC, TBP, UBE2I, VAV1, YBX1 (HPRD Database, Direct); AMOTL1, ARID1A, C19orf2, CAD, CHTF18, CPSF1, CPSF6, DDX17, DDX23, DDX3X, DDX5, DHX30, DHX9, DIAPH1, EFTUD2, ELAVL1, ELAVL2, ELAVL3, ELAVL4, EPRS, FBL, FMR1, GNB2L1, GRINL1A, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPAB, HNRNPC, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPL, HNRNPR, HNRNPU, HNRNPUL1, MKI67, NAT10, NCL, NEDD4, NOLC1, NONO, NOP2, NPM1, NUDT21, PABPC1, PARP1, PIAS1, POLR2A, POLR2B, POLR2C, POLR2E, POLR3A, PRKDC, PRPF8, PTBP1, RAPGEF2, RBMX, RPAP2, RPAP3, RPS3A, SF3B1, SF3B2, SF3B3, SFPQ, SFRS1, SFRS7, SMARCC1, SNRNP200, SNRPA1, STAU1, SYNCRIP, TCOF1, THRAP3, TOP1, TOP2A, UPF1, WBP2, YBX1 (HPRD Database, Complex); APBB1, C20ORF20, CDK9, CEBPB, CNNM3, CSK, DDX1, DIDO1, EMD, GRAP2, GRB2, H3F3A, HMGB1, HNRNPA1, HNRNPH1, HNRNPK, HNRNPL, ITK, KHDRBS1, KHDRBS2, KHDRBS3, KIAA0101, MATR3, MEPCE, MORF4L1, MORF4L2, MYC, NCK2, NEDD4, NPDC1, PABPC1, PCBP2, PIN1, POU5F1, PRMT1, PRPF40A, PTBP1, QKI, RBM7, RBM41, RBM42, RBMX, SMARCAD1, SORBS3, SREK1, SUMO1, SUMO2, TCEA2, TCERG1, TOP1, UBC, UBE2I, VAV1, VHL, WBP4, WWOX, YWHAQ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=522257&LLNO=3190,http://www.proteinatlas.org/ENSG00000165119,http://www.hprd.org/summary?hprd_id=02834&isoform_id=02834_3&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=229,775,7596,54930,55209,55354,55620,57747,58389,58628,59217,59401,59451,59591,61214,61755,66643,66922,67067,67333,69460,70102,70341,70930,71114,71164,71304,72927,73468,74991,75639,76474,77215,78456,80922,83053,84781,87540,100219,1,		
hnRNP L	HNRNPL	heterogeneous nuclear ribonucleoprotein L, HNRPL, FLJ35509, P/OKcl.14	3191	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3191	P14866	3 RRM (RNA recognition motif) domains		CFLAR, CSE1L, CSNK2A1, DFFA, DOCK4, EIF2B1, FGFR3, GABARAP, GABARAPL1, GABARAPL2, HMGA1, HMG20B, IFIT2, IFIT3, ILK, MAP1LC3A, MAP1LC3B, PJA1, PPP2R2B, PUF60, RARA, SGK1, SMYD2, SSSCA1, TMBIM4, TNFRSF14, TOP1, TP63, TRAF6, YWHAZ, ZNF143 (IntAct Database); HNRNPK, PCBP2, PTBP1 (STRING Database); CSE1L, EIF2C1, FGFR3, HMG20B, PCBP2, PJA1 (MINT Database); APEX1, CSE1L, FGFR3, HMG20B, HNRNPA2B1, HNRNPK, PCBP2, PJA1, PTBP1, SUMO4 (HPRD Database, Direct); AMOTL1, ARID1A, C19orf2, CAD, CHTF18, CPSF1, CPSF6, DDX17, DDX23, DDX3X, DDX5, DHX30, DHX9, DIAPH1, EFTUD2, ELAVL1, EPRS, FBL, GRINL1A, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPR, HNRNPU, HNRNPUL1, MKI67, NAT10, NCL, NEDD4, NOLC1, NONO, NOP2, NPM1, NUDT21, PARP1, PIAS1, POLR2A, POLR2B, POLR2C, POLR2E, POLR3A, PRKDC, PRPF8, RAPGEF2, RPAP2, RPAP3, RPS3A, SF3B1, SF3B3, SFPQ, SFRS1, SFRS7, SMARCC1, SNRNP200, SNRPA1, TCOF1, THRAP3, TOP1, TOP2A, WBP2, YBX1 (HPRD Database, Complex); APEX1, CSE1L, DOCK4, EIF2B1, FGFR3, HDAC5, HMG20B, HNRNPA1, HNRNPA2B1, HNRNPK, HNRNPL, ITCH, KHDRBS2, NEDD4, PCBP2, PTBP1, PUF60, SMARCAD1, SRRM2, SUMO1, TOP1, TOPORS, UBC, VHL, YWHAZ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=644906&LLNO=3191,http://www.proteinatlas.org/ENSG00000104824,http://www.hprd.org/summary?hprd_id=04360&isoform_id=04360_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1047,7312,55524,61554,67237,73267,79503,82532,84179,85824,87981,92129,92130,100350,103458,120920,121952,124549&ptm_id=13974,14065,15310,15322,25306,25307,25308,25309,25310,25311,25312,25313,25314&loc_id=1112,1425,1628,		
hnRNP LL	HNRPLL	heterogeneous nuclear ribonucleoprotein L-like, SRRF, hnRNPLL, HNRPLL.	92906	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=92906	Q8WVV9	3 RRM (RNA recognition motif) domains		DDX39B, PCBP1 (IntAct Database); BAT1, PCBP1 (MINT Database); BAT1, PCBP1 (HPRD Database, Direct); HDAC5, PSMA3, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=445497&LLNO=92906,http://www.proteinatlas.org/ENSG00000143889,http://www.hprd.org/summary?hprd_id=13667&isoform_id=13667_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/Experimental_details?cellexp_id=TE-11083,TE-38232,TE-3377,		
hnRNP M	HNRNPM	heterogeneous nuclear ribonucleoprotein M, HTGR1, NAGR1, HNRPM4, HNRNPM4, DKFZp547H118.	4670	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=4670	P52272	3 RRM (RNA recognition motif) domains		ARF6, ARRB1, ARRB2, C20orf24, ERG, ESR1, GABARAP, GABARAPL1, GABARAPL2, GSTK1, HLA-B, IKBKE, LMO2, LMO3, MAGEB2, MAP1LC3A, MAP1LC3B, MAP3K1, MAP3K14, MED19, MED26, MED29, NFKB2, NFKBIB, PHLDA3, PRRC2A, PTP4A3, RBM4B, RELA, RFXANK, SGK1, STAT3, TANK, TBK1, TNFRSF10D, TSC22D1 (IntAct Database); TNPO1 (STRING Database); TNPO1 (DIP Database); BAG2, BAT2, CDC5L, HSPA1A, HSPA8, MAP3K1, MAP3K14, NFKB1, NFKB2, PLRG1, RBM4, RBM4B, RELA, RPS27A, SFRS2, SNW1, TANK, TBK1, WDR77, ZNF207 (MINT Database); BAT2, CEACAM5, JUN, LMO3, LYST, RBM4B, TCERG1, YWHAG (HPRD Database, Direct); APC, C20ORF20, DOT1L, GSTK1, HNRNPA1, JUN, KIAA0101, LMO3, LYST, MORF4L1, MORF4L2, NOP56, NPM1, PHLDA3, PRRC2A, PTP4A3, RBM4B, RFXANK, SMARCAD1, SRRM1, SRRM2, SUMO1, SUMO2, TADA2A, TCERG1, TOPORS, TSC22D1, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=465808&LLNO=4670,http://www.proteinatlas.org/ENSG00000099783,http://www.hprd.org/summary?hprd_id=01188&isoform_id=01188_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=612,55009,55297,55722,56368,56718,62353,62523,66722,67010,67435,68081,68431,74066,74236,81892,85649,100804,104718,121857,124517&ptm_id=2317,2318,4826,20054&loc_id=,		
hnRNP P (TLS)	FUS	fusion (involved in t(12,16) in malignant liposarcoma), hnRNP-P2, TLS, CHOP, FUS1, FUS-CHOP, TLS/CHOP.	2521	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=2521	P35637	1 RRM (RNA recognition motif) domain; 1 RanBP2-type zinc finger.	Malignant myxoid liposarcoma. Acute myeloid leukemia (AML) [MIM:601626]. Angiomatoid fibrous histioc	ARHGDIA, BCAR3, EIF1B, EIF6, ESR1, ESRRA, EWSR1, GABARAP, GABARAPL1, GABARAPL2, GRB2, GSK3B, HLA-B, KHDRBS3, LYAR, MAGEB2, MAP1LC3A, MAP1LC3B, MAPK13, MAX, MDH1, NKD2, PRMT1, PSMB7, RBMX, SAFB2, SRSF9, TAF15, TDRD3, TNIP1, TP63, USF2 (IntAct Database); PRMT1, SF3A2, SRSF10 (STRING Database); CDC5L, PRMT1, SF3A2, SFPQ, SFRS13A, SNW1, WBP4, ZMYM2 (MINT Database); GRIN1, GRIN2D, ILF3, POLR2A, PRMT1, PTBP1, RELA, RXRA, SF1, SFPQ, SFRS2, SFRS4, SFRS13A, SPI1, SRRM1, THRA, YBX1, ZMYM2 (HPRD Database, Direct); DGCR8, EIF6, ILF3, KIAA0101, OTUB1, PCM1, PRMT1, PTBP2, RELA, RXRA, SARNP, SF1, SPI1, SRRM1, SRSF10, SUMO2, TARDBP, THRA, UBC, USF2, WBP4, YBX1, ZMYM2 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=513522&LLNO=2521,http://www.proteinatlas.org/ENSG00000089280,http://www.hprd.org/summary?hprd_id=00660&isoform_id=00660_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=907,8113,55285,55399,61307,66998,67112,73020,79810,88006,96820,102480,104433&ptm_id=11849&loc_id=1379,		
hnRNP U	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A), HNRPU, SAF-A, U21.1.	3192	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3192	Q00839	1 SAP domain		ARRB1, ARRB2, CDKN2A, ERG, ESR1, GABARAP, GABARAPL1, GABARAPL2, HDGF, IFIT3, IKBKB, IKBKG, MAP1LC3A, MAP1LC3B, MAP3K14, NDRG1, NFKB2, NFKBIB, RELA, RELB, STAU1, TANK, TNFRSF1B, TOP1 (IntAct Database); CDK7, POLR2A, SF3A2, STAU1 (STRING Database); CD5, CENPA, PLCG1 (DIP Database); CDC5L, EIF2C1, EIF2C2, GAS7, HNRNPD, HNRNPH3, IKBKB, IKBKG, MAP3K14, NFKB2, PITX2, RELA, RELB, SFN, SMN1, SNW1, SYNCRIP, TANK, TNFRSF1B, WBP4, YWHAZ (MINT Database); ACTB, BTRC, CASP3, CD5, CR2, ELL, EP300, GRIN1, GRIN2D, GTF2H1, NDN, NDRG1, NR3C1, POU3F4, PRMT1, PTPN11, SFRS12, SMN1, STAU1, SYK, YAP1, ZNF689 (HPRD Database, Direct); AMOTL1, ARID1A, C19orf2, CAD, CHTF18, CPSF1, CPSF6, DDB1, DDX17, DDX23, DDX3X, DDX5, DHX30, DHX9, DIAPH1, EEF1A1, EEF1G, EFTUD2, ELAVL1, ELAVL2, ELAVL3, ELAVL4, EPRS, FBL, FMR1, GNB2L1, GRINL1A, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPAB, HNRNPC, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPL, HNRNPR, HNRNPUL1, HSPA5, MATR3, MKI67, NAT10, NCL, NEDD4, NOLC1, NONO, NOP2, NPM1, NUDT21, PABPC1, PARP1, PFKL, PIAS1, POLR2A, POLR2B, POLR2C, POLR2E, POLR3A, PRKDC, PRPF8, PTBP1, RAPGEF2, RBMX, RPAP2, RPAP3, RPS3A, SF3B1, SF3B2, SF3B3, SFPQ, SFRS1, SFRS7, SMARCC1, SNRNP200, SNRPA1, SNW1, STAU1, SYNCRIP, TCOF1, THRAP3, TIA1, TIAL1, TOP1, TOP2A, TUBB, TUBB4, UBR5, UPF1, WBP2, YBX1 (HPRD Database, Complex); BTRC, C20ORF20, CDK7, CDK9, DGCR8, DOT1L, DYRK2, EMD, EP300, GAS7, GPN1, GTF2F1, HNRNPH1, IKBKB, KIAA0101, MAX, MORF4L1, MORF4L2, MYC, NDN, NEDD4, NFKBIA, NOP56, NPM1, NR3C1, PIN1, PML, POLR2A, POLR2J, POU3F4, PRMT1, PRPF40A, RARA, RBM39, RNF146, RUVBL2, SFN, SMARCAD1, SNW1, SREK1, STAU1, SUMO1, TCERG1, UBC, VHL, WBP4 (BioGRID Database)	Imatinib (IntAct Database)	http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=106212&LLNO=3192,http://www.proteinatlas.org/ENSG00000153187,http://www.hprd.org/summary?hprd_id=04185&isoform_id=04185_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=359,942,76827,79143,81490,83617,85475,87586,100640,103872&ptm_id=13341,13342,23131&loc_id=,		
HTra2alpha	TRA2A	transformer-2 alpha, HSU53209.	29896	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=29896	Q13595	1 RRM (RNA recognition motif) domain		CDK6, GABARAP, GABARAPL1, GABARAPL2, LBP, MAP1LC3A, MAP1LC3B, NXF1, TAF9, YTHDC1 (IntAct Database); CDK2AP2, CRABP1, DHX15, NUDT21, SELENBP1, SMAP, SR140, TNNT1, YWHAG (MINT Database); SFRS13A, YWHAG (HPRD Database, Direct); C11ORF58, CDK2AP2, CRABP1, NUDT21, SELENBP1, TADA2A, TNNT1, UBC, YWHAG (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=445652&LLNO=29896,http://www.proteinatlas.org/ENSG00000164548,http://www.hprd.org/summary?hprd_id=04096&isoform_id=04096_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=56795,68508&ptm_id=9477,9478,9479,9480,9481,9482,9483,9484,9485,9486,9487,9488,9489,9490,9491,9492,9493,9494,9495,9496,9497,9498,9499,9500,9501,9502,14658,14659,21761,21762&loc_id=,		
HTra2beta1	TRA2B	splicing factor arginine/serine-rich 10 (transformer 2 homolog, Drosophila), SFRS10, TRAN2B, TRA2-BETA, Htra2-beta, DKFZp686F18120	6434	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6434	P62995	1 RRM (RNA recognition motif) domain		CDK6, IVNS1ABP, LUM, NXF1, RNPS1, YTHDC1, YWHAG, YWHAZ (IntAct Database); RBMX, RNPS1, SF3A2 (STRING Database); RBMX, SRSF9 (DIP Database); HNRNPA1, RBMX, SF3A2, SFRS13A, SFRS2, SFRS3, SFRS4, SFRS6, YWHAG, YWHAZ (MINT Database); IVNS1ABP, LUM, NGFR, RBMX, RBMXL2, RBMY1A1, RNPS1, SFRS9, SFRS12, TNPO3, YTHDC1, YWHAG, YWHAZ (HPRD Database, Direct); BANF1, KIAA0101, POU5F1, RBM39, RBMX, RNPS1, SREK1, SRSF9, TADA2A, UBC, YWHAG, YWHAZ, ZRANB2 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=533122&LLNO=6434,http://www.proteinatlas.org/ENSG00000136527,http://www.hprd.org/summary?hprd_id=04097&isoform_id=04097_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=869,61550,73263,83916,102770&ptm_id=6861,6862,6863,6864,6865,6866,6867,6868,6869,6870,6871,6872,6873,6874,6875,6876,6877,14563,14564,14656,14657,15039,15040,15848,15849,21317,21318,21319,21320,21321,21322,21323,21324,21325,21326,21,		
HuB	ELAVL2	ELAV (embryonic lethal abnormal vision Drosophila)-like 2 (Hu antigen B), HELN1, HEL-N1, HELN2, HEL-N2.	1993	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=1993	Q12926	3 RRM (RNA recognition motif) domains		ELAVL3, ELAVL4 (HPRD Database, Direct); ELAVL1, ELAVL3, ELAVL4, FMR1, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, NCL, PABPC1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); HNRNPAB, HOXC9, KIAA0101, NR2E3, RBFOX2, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=166109&LLNO=1993,http://www.proteinatlas.org/ENSG00000107105,http://www.hprd.org/summary?hprd_id=03396&isoform_id=03396_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=80312,86558,103961&ptm_id=&loc_id=,		
HuD	ELAVL4	ELAV (embryonic lethal abnormal vision Drosophila)-like 4 (Hu antigen D), PNEM.	1996	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=1996	P26378	3 RRM (RNA recognition motif) domains	Paraneoplastic encephalomyelitis sensory neuropathy [MIM:168360]	EWSR1, PHF20L1 (IntAct Database); EWSR1 (MINT Database); ELAVL2, EWSR1, GAP43, NFX1 (HPRD Database, Direct); ELAVL1, ELAVL2, ELAVL3, FMR1, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, KIF3A, NCL, PABPC1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); EWSR1, NXF1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=213050&LLNO=1996,http://www.proteinatlas.org/ENSG00000162374,http://www.hprd.org/summary?hprd_id=01343&isoform_id=01343_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=42416,42417,42418,42419,42420,42421,42422,42423,42424,42425,80311,86557,103962&ptm_id=&loc_id=,		
