iso_ref	gene_ref	isoform_id	gene_id	gene_name	condition_1	condition_2	IF1	IF2	dIF	isoform_switch_q_value	Rank
isoComp_00021773	geneComp_00012428	ENST00000337619.11	AP1S1	AP1S1	control	treated	0.684	0.579	-0.105	6.73226333744617e-05	201
isoComp_00139677	geneComp_00036727	ENST00000541364.5	TUBA1C	TUBA1C	control	treated	0.283	0.023	-0.26	7.07554509444368e-05	202
isoComp_00150267	geneComp_00038686	ENST00000334095.4	ZNF761	ZNF761	control	treated	0.16	0.297	0.138	7.39018802056068e-05	203
isoComp_00051263	geneComp_00017591	ENST00000589028.5	ERC1	ERC1	control	treated	0	0.305	0.305	7.72525950699767e-05	204
isoComp_00131634	geneComp_00035269	ENST00000424279.5	TBL1X	TBL1X	control	treated	0.492	0.669	0.177	7.79746872308778e-05	205
isoComp_00088027	geneComp_00025830	ENST00000436318.6	MUC15	MUC15	control	treated	0.004	0.274	0.271	8.11097390391378e-05	206
isoComp_00111914	geneComp_00030155	ENST00000470628.2	RIC8B	RIC8B	control	treated	0	0.123	0.123	8.80873287715909e-05	207
isoComp_00150920	geneComp_00038838	ENST00000414431.1	ZSCAN31	ZSCAN31	control	treated	0.037	0.153	0.116	9.28202119061869e-05	208
isoComp_00121007	geneComp_00033300	ENST00000525776.1	SIRT3	SIRT3	control	treated	0.143	0.254	0.112	9.75063649763075e-05	209
isoComp_00083637	geneComp_00024581	ENST00000377710.10	MGME1	MGME1	control	treated	0.68	0.791	0.111	0.000109357210450006	210
isoComp_00038740	geneComp_00015468	ENST00000489117.5	COA8	COA8	control	treated	0.483	0.349	-0.135	0.000109991351494219	211
isoComp_00119456	geneComp_00033004	ENST00000528200.5	SERGEF	SERGEF	control	treated	0.023	0.133	0.109	0.000112363473077808	212
isoComp_00124192	geneComp_00033867	ENST00000456842.1	SMIM12	SMIM12	control	treated	0.68	0.556	-0.124	0.000114627042192097	213
isoComp_00101145	geneComp_00028320	ENST00000590146.1	PJA1	PJA1	control	treated	0	0.13	0.13	0.000132109993717935	214
isoComp_00127413	geneComp_00034606	ENST00000555015.5	SRP54-AS1	SRP54-AS1	control	treated	0	0.346	0.346	0.000134253030699483	215
isoComp_00019549	geneComp_00011577	ENST00000429635.1	AMIGO2	AMIGO2	control	treated	0	0.348	0.348	0.000137018974150407	216
isoComp_00048155	geneComp_00017080	ENST00000517476.5	E2F5	E2F5	control	treated	0.31	0.476	0.166	0.000138384179744925	217
isoComp_00117953	geneComp_00032751	ENST00000220478.8	SCG3	SCG3	control	treated	0.881	0.716	-0.165	0.000139108272800698	218
isoComp_00065048	geneComp_00020490	ENST00000452194.5	HSF2	HSF2	control	treated	0.353	0.24	-0.113	0.000142718717654509	219
isoComp_00066678	geneComp_00020877	ENST00000429135.2	IL15RA	IL15RA	control	treated	0.247	0.103	-0.144	0.000144487206924488	220
isoComp_00095450	geneComp_00027070	ENST00000414028.6	OPRM1	OPRM1	control	treated	0	0.728	0.728	0.000149537963955371	221
isoComp_00029796	geneComp_00013892	ENST00000496659.1	C4A	C4A	control	treated	0.129	0	-0.129	0.000150600300705192	222
isoComp_00148330	geneComp_00038327	ENST00000391705.7	ZNF304	ZNF304	control	treated	0.014	0.203	0.189	0.00015727774817141	223
isoComp_00030087	geneComp_00013981	ENST00000486420.1	C9orf16	C9orf16	control	treated	0.317	0.17	-0.146	0.000159090997101746	224
isoComp_00029724	geneComp_00013877	ENST00000601008.1	C3	C3	control	treated	0.177	0.068	-0.109	0.000159526320024801	225
isoComp_00139111	geneComp_00036642	ENST00000534793.1	TTC12	TTC12	control	treated	0.094	0.256	0.162	0.00016185495686507	226
isoComp_00148720	geneComp_00038398	ENST00000602024.5	ZNF415	ZNF415	control	treated	0.364	0	-0.364	0.000173128625472061	227
isoComp_00023024	geneComp_00012617	ENST00000498310.1	ARHGAP8	ARHGAP8	control	treated	0.189	0	-0.189	0.000174032573523169	228
isoComp_00087756	geneComp_00025713	ENST00000462447.5	MTMR8	MTMR8	control	treated	0.105	0	-0.105	0.000177180999604264	229
isoComp_00124546	geneComp_00033944	ENST00000568331.5	SNAP23	SNAP23	control	treated	0.147	0.045	-0.102	0.0001845639682474	230
isoComp_00074768	geneComp_00022506	ENST00000653314.1	LINC01088	LINC01088	control	treated	0.238	0.347	0.109	0.000185251149101952	231
isoComp_00012100	geneComp_00007889	ENST00000608083.5	ACOT7	ACOT7	control	treated	0.705	0.539	-0.165	0.000185677934131101	232
isoComp_00038998	geneComp_00015513	ENST00000504541.1	COL4A5	COL4A5	control	treated	0.236	0	-0.236	0.000185677934131101	233
isoComp_00060960	geneComp_00019571	ENST00000458713.1	GRM7-AS3	GRM7-AS3	control	treated	0.061	0.31	0.248	0.000185732166207985	234
isoComp_00108754	geneComp_00029608	ENST00000596216.2	RAB4B-EGLN2	RAB4B-EGLN2	control	treated	1	0.506	-0.494	0.000186029352186538	235
isoComp_00133068	geneComp_00035528	ENST00000552516.5	TGFBR1	TGFBR1	control	treated	0.488	0.628	0.14	0.000189981441367203	236
isoComp_00019550	geneComp_00011577	ENST00000550413.2	AMIGO2	AMIGO2	control	treated	0.799	0.437	-0.362	0.00019463036038868	237
isoComp_00069380	geneComp_00021309	ENST00000245121.9	KATNAL2	KATNAL2	control	treated	0	0.426	0.426	0.00019463036038868	238
isoComp_00044717	geneComp_00016502	ENST00000475969.5	DFFB	DFFB	control	treated	0.279	0.079	-0.199	0.000214363306094294	239
isoComp_00018457	geneComp_00011123	ENST00000431840.2	AL591684.2	AL591684.2	control	treated	0.771	0.513	-0.258	0.000217706488280485	240
isoComp_00138385	geneComp_00036524	ENST00000651093.1	TRNT1	TRNT1	control	treated	0.268	0.123	-0.145	0.000228885921746601	241
isoComp_00013485	geneComp_00008147	ENST00000379774.5	ADPRM	ADPRM	control	treated	0.233	0.387	0.153	0.000232850833026463	242
isoComp_00118571	geneComp_00032870	ENST00000485482.5	SEC14L2	SEC14L2	control	treated	0.349	0	-0.349	0.000240326923212053	243
isoComp_00148241	geneComp_00038308	ENST00000479907.1	ZNF282	ZNF282	control	treated	0.192	0.078	-0.114	0.000249239322710716	244
isoComp_00096161	geneComp_00027454	ENST00000655968.1	OSER1-DT	OSER1-DT	control	treated	0.001	0.111	0.11	0.000251179632242371	245
isoComp_00034857	geneComp_00014779	ENST00000381037.4	CDPF1	CDPF1	control	treated	0.116	0	-0.116	0.000252438023416441	246
isoComp_00080988	geneComp_00024216	ENST00000395629.2	MAPK8IP1	MAPK8IP1	control	treated	0.999	0.756	-0.243	0.000256019567446664	247
isoComp_00021971	geneComp_00012446	ENST00000479916.1	AP4M1	AP4M1	control	treated	0.401	0.243	-0.158	0.000270155786399668	248
isoComp_00020961	geneComp_00011892	ENST00000535199.5	AP000688.1	AP000688.1	control	treated	1	0.144	-0.856	0.000271307653716325	249
isoComp_00096363	geneComp_00027512	ENST00000654321.1	OXCT1-AS1	OXCT1-AS1	control	treated	0.773	0.322	-0.451	0.000277741032541002	250
isoComp_00029243	geneComp_00013763	ENST00000402468.3	C1GALT1	C1GALT1	control	treated	0.094	0.197	0.103	0.000311052676408623	251
isoComp_00149430	geneComp_00038529	ENST00000589750.5	ZNF571-AS1	ZNF571-AS1	control	treated	0.162	0	-0.162	0.000312806394840367	252
isoComp_00139986	geneComp_00036801	ENST00000395510.7	TWF1	TWF1	control	treated	0.517	0.66	0.143	0.000321076786549857	253
isoComp_00027839	geneComp_00013442	ENST00000462790.8	BORCS8	BORCS8	control	treated	0.142	0.322	0.179	0.000334422549077378	254
isoComp_00035699	geneComp_00014928	ENST00000542296.6	CERS1	CERS1	control	treated	0	0.63	0.63	0.000335579312422357	255
isoComp_00149955	geneComp_00038622	ENST00000531570.1	ZNF681	ZNF681	control	treated	0.396	0.146	-0.25	0.000339175743427976	256
isoComp_00108938	geneComp_00029636	ENST00000560998.5	RABGGTA	RABGGTA	control	treated	0.294	0.146	-0.148	0.000340388656109194	257
isoComp_00079273	geneComp_00023923	ENST00000608501.5	LSP1P4	LSP1P4	control	treated	0.148	0	-0.148	0.000361563959013547	258
isoComp_00018299	geneComp_00011008	ENST00000656729.1	AL589843.1	AL589843.1	control	treated	0	0.682	0.682	0.000374151500343787	259
isoComp_00063653	geneComp_00020114	ENST00000636675.1	HJV	HJV	control	treated	0	0.369	0.369	0.000375027984292731	260
isoComp_00057112	geneComp_00018797	ENST00000636575.1	GABBR2	GABBR2	control	treated	0	0.635	0.635	0.000382896377508309	261
isoComp_00149037	geneComp_00038463	ENST00000296091.8	ZNF502	ZNF502	control	treated	0	0.391	0.391	0.000394298653215477	262
isoComp_00045679	geneComp_00016639	ENST00000582051.1	DLGAP1	DLGAP1	control	treated	0.859	0.306	-0.553	0.000395069489914596	263
isoComp_00126016	geneComp_00034343	ENST00000243810.10	SP140L	SP140L	control	treated	0.305	0.199	-0.106	0.000395069489914596	264
isoComp_00137436	geneComp_00036323	ENST00000663931.1	TRAM2-AS1	TRAM2-AS1	control	treated	0.365	0.018	-0.347	0.000401019395607706	265
isoComp_00139682	geneComp_00036727	ENST00000552448.1	TUBA1C	TUBA1C	control	treated	0	0.284	0.283	0.000404823096982758	266
isoComp_00120551	geneComp_00033207	ENST00000586889.1	SHFL	SHFL	control	treated	0.17	0.065	-0.105	0.000417286435789834	267
isoComp_00012094	geneComp_00007889	ENST00000377845.7	ACOT7	ACOT7	control	treated	0.289	0.445	0.156	0.000424169691279622	268
isoComp_00150312	geneComp_00038696	ENST00000600175.5	ZNF772	ZNF772	control	treated	0	0.202	0.202	0.000425128380418476	269
isoComp_00047552	geneComp_00016966	ENST00000324432.9	DTX2	DTX2	control	treated	0.22	0.025	-0.195	0.000434315870296586	270
isoComp_00082754	geneComp_00024469	ENST00000446695.1	MELTF-AS1	MELTF-AS1	control	treated	0.346	0.518	0.172	0.000434464463255278	271
isoComp_00095670	geneComp_00027234	ENST00000588632.2	OR4G1P	OR4G1P	control	treated	0	0.556	0.556	0.000449143708115684	272
isoComp_00026714	geneComp_00013205	ENST00000268057.9	BBS4	BBS4	control	treated	0.348	0.485	0.137	0.000450039209079894	273
isoComp_00023048	geneComp_00012619	ENST00000580033.5	ARHGDIA	ARHGDIA	control	treated	0.26	0.126	-0.133	0.000451009151438661	274
isoComp_00061817	geneComp_00019723	ENST00000491839.1	GXYLT2	GXYLT2	control	treated	0.272	0.028	-0.244	0.000455429709780504	275
isoComp_00136095	geneComp_00036093	ENST00000437813.7	TNFRSF1A	TNFRSF1A	control	treated	0.214	0.101	-0.112	0.000484044443328597	276
isoComp_00107199	geneComp_00029364	ENST00000476748.5	PTGES2	PTGES2	control	treated	0.538	0.365	-0.173	0.000485519697443825	277
isoComp_00138943	geneComp_00036604	ENST00000409543.6	TSPAN4	TSPAN4	control	treated	0.415	0	-0.415	0.000487573269626053	278
isoComp_00095243	geneComp_00027017	ENST00000290291.10	OGFR	OGFR	control	treated	0.209	0.349	0.14	0.000497979949244093	279
isoComp_00029132	geneComp_00013740	ENST00000591995.1	C17orf99	C17orf99	control	treated	0.257	0.073	-0.184	0.000498832079091514	280
isoComp_00018258	geneComp_00010973	ENST00000669133.1	AL583827.1	AL583827.1	control	treated	0.322	0	-0.322	0.000503345014228345	281
isoComp_00073948	geneComp_00022343	ENST00000662633.1	LINC00645	LINC00645	control	treated	0	0.518	0.518	0.000507042339009803	282
isoComp_00077526	geneComp_00023473	ENST00000667203.1	LINC02616	LINC02616	control	treated	0.165	0.31	0.145	0.000515236039315028	283
isoComp_00047289	geneComp_00016907	ENST00000461449.5	DRAM2	DRAM2	control	treated	0.177	0.28	0.103	0.000530678609057008	284
isoComp_00064694	geneComp_00020413	ENST00000622018.4	HPCAL1	HPCAL1	control	treated	0.461	0.631	0.17	0.000544262082104933	285
isoComp_00146785	geneComp_00038067	ENST00000493944.5	ZDHHC4	ZDHHC4	control	treated	0.197	0.096	-0.1	0.000555126450637613	286
isoComp_00125691	geneComp_00034270	ENST00000435060.5	SNX8	SNX8	control	treated	0	0.121	0.121	0.000558830002298381	287
isoComp_00018458	geneComp_00011123	ENST00000605970.5	AL591684.2	AL591684.2	control	treated	0.229	0.487	0.258	0.000572474567226846	288
isoComp_00136219	geneComp_00036116	ENST00000673420.1	TNK2	TNK2	control	treated	0	0.112	0.112	0.000597174626833482	289
isoComp_00138739	geneComp_00036570	ENST00000667261.1	TSEN34	TSEN34	control	treated	0.112	0	-0.112	0.000605741109889612	290
isoComp_00089852	geneComp_00026116	ENST00000483147.1	NBEAL1	NBEAL1	control	treated	0.143	0.012	-0.132	0.000609169174065206	291
isoComp_00040388	geneComp_00015759	ENST00000571763.5	CREBBP	CREBBP	control	treated	0.206	0.352	0.145	0.000640920416731454	292
isoComp_00138251	geneComp_00036504	ENST00000455368.6	TRMT10A	TRMT10A	control	treated	0.326	0.135	-0.191	0.000650482739388585	293
isoComp_00145832	geneComp_00037774	ENST00000524592.1	YPEL4	YPEL4	control	treated	0.252	0.593	0.342	0.000679942327629243	294
isoComp_00020950	geneComp_00011886	ENST00000534120.1	AP000640.2	AP000640.2	control	treated	0.783	1	0.217	0.000692474726081164	295
isoComp_00006193	geneComp_00003944	ENST00000650829.1	AC062037.3	AC062037.3	control	treated	0	0.394	0.394	0.000701650293378635	296
isoComp_00079034	geneComp_00023878	ENST00000618098.4	LRRC8E	LRRC8E	control	treated	0.436	0	-0.436	0.000719038983265177	297
isoComp_00067437	geneComp_00021015	ENST00000481867.1	INPP5K	INPP5K	control	treated	0.149	0.033	-0.115	0.000722043387306981	298
isoComp_00079033	geneComp_00023878	ENST00000600345.1	LRRC8E	LRRC8E	control	treated	0.177	0.003	-0.175	0.000739646280154823	299
isoComp_00111541	geneComp_00030087	ENST00000374134.7	RGS3	RGS3	control	treated	0.048	0.302	0.254	0.000750363286758123	300
isoComp_00063595	geneComp_00020104	ENST00000426237.2	HIPK1-AS1	HIPK1-AS1	control	treated	0	0.22	0.22	0.000751980611878068	301
isoComp_00044908	geneComp_00016527	ENST00000535035.6	DHCR24	DHCR24	control	treated	0.002	0.143	0.14	0.000755577812478027	302
isoComp_00105583	geneComp_00029065	ENST00000462601.5	PRKRIP1	PRKRIP1	control	treated	0.398	0.258	-0.141	0.000776931716777779	303
isoComp_00050230	geneComp_00017431	ENST00000601780.5	EMC10	EMC10	control	treated	0	0.103	0.103	0.000793325045317693	304
isoComp_00046364	geneComp_00016763	ENST00000525511.5	DNAJC24	DNAJC24	control	treated	0.162	0	-0.162	0.000798348237292526	305
isoComp_00145919	geneComp_00037795	ENST00000420430.1	YWHAH	YWHAH	control	treated	0.156	0.315	0.159	0.000819881083898806	306
isoComp_00014798	geneComp_00008504	ENST00000446543.1	AL021937.3	AL021937.3	control	treated	0.532	0	-0.532	0.000845064114075332	307
isoComp_00046496	geneComp_00016784	ENST00000014935.7	DNASE1L1	DNASE1L1	control	treated	0.314	0.161	-0.153	0.000860380352058424	308
isoComp_00005334	geneComp_00003318	ENST00000601687.1	AC024075.3	AC024075.3	control	treated	0.623	0.429	-0.195	0.000866286152218899	309
isoComp_00085611	geneComp_00025267	ENST00000508922.5	MOCS2	MOCS2	control	treated	0.4	0.256	-0.144	0.000881357116090479	310
isoComp_00059032	geneComp_00019160	ENST00000377959.5	GLIPR2	GLIPR2	control	treated	0.183	0.006	-0.177	0.000894974144351386	311
isoComp_00095049	geneComp_00026989	ENST00000215061.9	OCEL1	OCEL1	control	treated	0.347	0.201	-0.146	0.000902321250048489	312
isoComp_00084134	geneComp_00024651	ENST00000528381.1	MIR100HG	MIR100HG	control	treated	0.217	0	-0.217	0.000906296432425438	313
isoComp_00101605	geneComp_00028403	ENST00000561378.1	PLCB2	PLCB2	control	treated	0.239	0.097	-0.142	0.000907628801738045	314
isoComp_00000626	geneComp_00000103	ENST00000357419.8	ABHD11	ABHD11	control	treated	0	0.153	0.153	0.000915211169409433	315
isoComp_00108373	geneComp_00029534	ENST00000265806.12	R3HCC1	R3HCC1	control	treated	0.267	0.475	0.208	0.000921979616538854	316
isoComp_00032787	geneComp_00014414	ENST00000482878.5	CCDC78	CCDC78	control	treated	0	0.227	0.227	0.000924565145317824	317
isoComp_00005333	geneComp_00003318	ENST00000601040.1	AC024075.3	AC024075.3	control	treated	0.377	0.571	0.195	0.000973790246533628	318
isoComp_00091778	geneComp_00026409	ENST00000216797.10	NFKBIA	NFKBIA	control	treated	0.858	0.737	-0.12	0.000989020208122352	319
isoComp_00027206	geneComp_00013270	ENST00000513518.1	BDH2	BDH2	control	treated	0.207	0.424	0.218	0.00102338108569075	320
isoComp_00074804	geneComp_00022511	ENST00000666953.1	LINC01094	LINC01094	control	treated	0.248	0	-0.248	0.00102638637742324	321
isoComp_00118912	geneComp_00032922	ENST00000514403.1	SELENOP	SELENOP	control	treated	0.448	0.263	-0.185	0.00103141078243785	322
isoComp_00008277	geneComp_00005386	ENST00000467896.2	AC092919.1	AC092919.1	control	treated	0	0.717	0.717	0.00104071819285734	323
isoComp_00057169	geneComp_00018811	ENST00000621499.1	GABRB3	GABRB3	control	treated	0.056	0.396	0.34	0.00105680351718059	324
isoComp_00147547	geneComp_00038194	ENST00000590687.5	ZNF112	ZNF112	control	treated	0.232	0.061	-0.171	0.00111933674625464	325
isoComp_00108481	geneComp_00029551	ENST00000493523.2	RAB11FIP5	RAB11FIP5	control	treated	0.279	0.562	0.283	0.00115754251090373	326
isoComp_00045025	geneComp_00016542	ENST00000650833.1	DHRS12	DHRS12	control	treated	0.008	0.171	0.162	0.00116659986158508	327
isoComp_00108753	geneComp_00029608	ENST00000594136.2	RAB4B-EGLN2	RAB4B-EGLN2	control	treated	0	0.494	0.494	0.00118112355817438	328
isoComp_00014399	geneComp_00008371	ENST00000572155.1	AKAP10	AKAP10	control	treated	0.144	0	-0.144	0.00119797686114983	329
isoComp_00057294	geneComp_00018847	ENST00000413800.5	GAL3ST4	GAL3ST4	control	treated	0	0.339	0.339	0.00119930815330678	330
isoComp_00100669	geneComp_00028243	ENST00000078527.9	PIGV	PIGV	control	treated	0.11	0.294	0.184	0.00120158012568013	331
isoComp_00123677	geneComp_00033792	ENST00000568997.5	SLX1A-SULT1A3	SLX1A-SULT1A3	control	treated	0	0.11	0.11	0.00127382192787359	332
isoComp_00040606	geneComp_00015799	ENST00000438573.5	CRPPA-AS1	CRPPA-AS1	control	treated	0.826	0.659	-0.167	0.00129068787687818	333
isoComp_00034806	geneComp_00014765	ENST00000615513.4	CDKN1A	CDKN1A	control	treated	0.617	0	-0.617	0.00129619760884795	334
isoComp_00079957	geneComp_00024033	ENST00000376667.7	MAD2L2	MAD2L2	control	treated	0.346	0.145	-0.202	0.00129686484660145	335
isoComp_00054527	geneComp_00018245	ENST00000473337.6	FBXO9	FBXO9	control	treated	0.173	0.069	-0.104	0.00131417417277966	336
isoComp_00066227	geneComp_00020739	ENST00000560972.1	IGF1R	IGF1R	control	treated	0	0.164	0.164	0.00134529013935855	337
isoComp_00138253	geneComp_00036504	ENST00000514547.1	TRMT10A	TRMT10A	control	treated	0.228	0.422	0.193	0.001355605247131	338
isoComp_00036764	geneComp_00015112	ENST00000229266.8	CHPT1	CHPT1	control	treated	0.213	0.056	-0.157	0.00140540469013265	339
isoComp_00135454	geneComp_00035960	ENST00000599479.1	TMEM38A	TMEM38A	control	treated	0.459	0.026	-0.433	0.00147028183674107	340
isoComp_00106167	geneComp_00029181	ENST00000647876.1	PRRT2	PRRT2	control	treated	0.208	0	-0.208	0.00163870255373678	341
isoComp_00016424	geneComp_00009652	ENST00000454174.5	AL157400.2	AL157400.2	control	treated	0.682	0	-0.682	0.00163952693052922	342
isoComp_00150823	geneComp_00038819	ENST00000492193.1	ZRANB3	ZRANB3	control	treated	0.208	0.107	-0.1	0.00164586960947847	343
isoComp_00126799	geneComp_00034496	ENST00000398454.5	SPINK5	SPINK5	control	treated	0.286	0	-0.286	0.00165709719871934	344
isoComp_00140733	geneComp_00036923	ENST00000449891.5	UBE2F-SCLY	UBE2F-SCLY	control	treated	0.379	1	0.621	0.00170516029033988	345
isoComp_00006011	geneComp_00003829	ENST00000667929.1	AC040970.1	AC040970.1	control	treated	0.08	0.473	0.393	0.00172770952062682	346
isoComp_00067423	geneComp_00021014	ENST00000405300.5	INPP5J	INPP5J	control	treated	0	0.112	0.112	0.00173868400459862	347
isoComp_00130839	geneComp_00035150	ENST00000565852.1	TANGO6	TANGO6	control	treated	0.136	0	-0.136	0.00174163548573123	348
isoComp_00097596	geneComp_00027716	ENST00000665654.1	PAXBP1-AS1	PAXBP1-AS1	control	treated	0.164	0.05	-0.114	0.00176311998839321	349
isoComp_00063063	geneComp_00020006	ENST00000348459.10	HELLS	HELLS	control	treated	0.312	0.46	0.148	0.00178117800786687	350
isoComp_00142325	geneComp_00037215	ENST00000323701.11	USP39	USP39	control	treated	0.395	0.2	-0.194	0.00184825217884481	351
isoComp_00117090	geneComp_00032587	ENST00000440685.6	S100A13	S100A13	control	treated	0.604	0.3	-0.304	0.00191075481334895	352
isoComp_00103073	geneComp_00028629	ENST00000461587.1	POLL	POLL	control	treated	0.056	0.171	0.115	0.00192673606743848	353
isoComp_00077941	geneComp_00023657	ENST00000435679.1	LIPH	LIPH	control	treated	0	0.234	0.234	0.00196705086409329	354
isoComp_00103659	geneComp_00028721	ENST00000558596.4	POU2F2	POU2F2	control	treated	0	0.391	0.391	0.00199743110358196	355
isoComp_00016934	geneComp_00010028	ENST00000660864.1	AL353748.3	AL353748.3	control	treated	0.636	1	0.364	0.00200889971048003	356
isoComp_00092038	geneComp_00026458	ENST00000389869.7	NIN	NIN	control	treated	0.138	0.013	-0.125	0.00202207292993955	357
isoComp_00080989	geneComp_00024216	ENST00000497090.1	MAPK8IP1	MAPK8IP1	control	treated	0.001	0.206	0.205	0.00213232087375823	358
isoComp_00069381	geneComp_00021309	ENST00000356157.12	KATNAL2	KATNAL2	control	treated	0.286	0	-0.286	0.00216555066984026	359
isoComp_00146377	geneComp_00037996	ENST00000511458.1	ZBTB49	ZBTB49	control	treated	0.087	0.31	0.222	0.00219055430335758	360
isoComp_00074386	geneComp_00022425	ENST00000586990.6	LINC00907	LINC00907	control	treated	0.354	0.09	-0.264	0.00222131098229167	361
isoComp_00064985	geneComp_00020477	ENST00000553476.1	HSD17B6	HSD17B6	control	treated	0	0.208	0.208	0.0022583840098042	362
isoComp_00105477	geneComp_00029052	ENST00000676823.1	PRKCSH	PRKCSH	control	treated	0.204	0.021	-0.183	0.00226902300301126	363
isoComp_00073606	geneComp_00022249	ENST00000667879.1	LINC00466	LINC00466	control	treated	0.027	0.567	0.541	0.00230219615307438	364
isoComp_00063166	geneComp_00020022	ENST00000456027.1	HERC2P3	HERC2P3	control	treated	0.107	0.259	0.152	0.00232361335246477	365
isoComp_00141505	geneComp_00037074	ENST00000551973.5	UHRF1BP1L	UHRF1BP1L	control	treated	0.316	0.463	0.147	0.00233808890471855	366
isoComp_00079683	geneComp_00023992	ENST00000664470.1	LYPLAL1-AS1	LYPLAL1-AS1	control	treated	0.575	0	-0.575	0.0023446700501647	367
isoComp_00039620	geneComp_00015592	ENST00000388767.7	CORO6	CORO6	control	treated	0.116	0	-0.116	0.00238508956758026	368
isoComp_00115452	geneComp_00032114	ENST00000602561.1	RPL7L1	RPL7L1	control	treated	0.29	0.178	-0.113	0.00243423855602345	369
isoComp_00121998	geneComp_00033492	ENST00000446986.1	SLC25A5-AS1	SLC25A5-AS1	control	treated	0.009	0.412	0.402	0.00243722889261693	370
isoComp_00095882	geneComp_00027404	ENST00000641848.1	OR8G3P	OR8G3P	control	treated	0.957	0.525	-0.432	0.00249293466383444	371
isoComp_00060163	geneComp_00019390	ENST00000492005.1	GPD2	GPD2	control	treated	0.319	0	-0.319	0.00250325588710396	372
isoComp_00082753	geneComp_00024469	ENST00000437064.1	MELTF-AS1	MELTF-AS1	control	treated	0.509	0.349	-0.16	0.00252592532944241	373
isoComp_00069643	geneComp_00021375	ENST00000472602.1	KCNJ15	KCNJ15	control	treated	0.817	0.638	-0.179	0.00261371808286632	374
isoComp_00032383	geneComp_00014360	ENST00000537986.1	CCDC189	CCDC189	control	treated	0.069	0.192	0.123	0.00265267912247655	375
isoComp_00120952	geneComp_00033292	ENST00000494056.1	SIPA1L2	SIPA1L2	control	treated	0	0.388	0.388	0.00271257837979077	376
isoComp_00058233	geneComp_00019006	ENST00000447658.1	GDAP1L1	GDAP1L1	control	treated	0.291	0.012	-0.279	0.00272252140365974	377
isoComp_00042446	geneComp_00016135	ENST00000557858.5	CYP19A1	CYP19A1	control	treated	0	0.313	0.313	0.00275229322091441	378
isoComp_00023351	geneComp_00012660	ENST00000264183.9	ARID4B	ARID4B	control	treated	0.193	0.298	0.105	0.00276666786241563	379
isoComp_00067308	geneComp_00021001	ENST00000233331.12	INO80B	INO80B	control	treated	0.216	0.325	0.109	0.00277913853761151	380
isoComp_00044305	geneComp_00016437	ENST00000486041.5	DEDD	DEDD	control	treated	0.256	0.13	-0.125	0.00283972494015781	381
isoComp_00115618	geneComp_00032176	ENST00000378202.5	RPP38	RPP38	control	treated	0.629	0.732	0.103	0.00286599364281118	382
isoComp_00138988	geneComp_00036613	ENST00000583777.5	TSPO	TSPO	control	treated	0.437	0.566	0.129	0.00288898749794023	383
isoComp_00040668	geneComp_00015811	ENST00000652223.1	CRYAB	CRYAB	control	treated	0.471	0	-0.471	0.0028893665430711	384
isoComp_00057597	geneComp_00018910	ENST00000495172.1	GARNL3	GARNL3	control	treated	0.016	0.241	0.225	0.00289407776462458	385
isoComp_00034297	geneComp_00014683	ENST00000336219.4	CDCA4	CDCA4	control	treated	0.832	0.95	0.118	0.0030048580720432	386
isoComp_00081106	geneComp_00024231	ENST00000446361.7	MAPT	MAPT	control	treated	0.077	0.359	0.281	0.00303982330587744	387
isoComp_00140732	geneComp_00036923	ENST00000449191.1	UBE2F-SCLY	UBE2F-SCLY	control	treated	0.621	0	-0.621	0.00303982330587744	388
isoComp_00128090	geneComp_00034721	ENST00000449406.6	ST3GAL4	ST3GAL4	control	treated	0.121	0.003	-0.118	0.0031125687585593	389
isoComp_00115257	geneComp_00032027	ENST00000579649.5	RPL36	RPL36	control	treated	0.305	0.144	-0.161	0.00312071352401269	390
isoComp_00096202	geneComp_00027461	ENST00000509237.5	OSMR	OSMR	control	treated	0.611	0.396	-0.215	0.0031606867370743	391
isoComp_00130598	geneComp_00035114	ENST00000668515.1	TAF1A-AS1	TAF1A-AS1	control	treated	0	0.189	0.189	0.0031606867370743	392
isoComp_00148010	geneComp_00038267	ENST00000647773.1	ZNF23	ZNF23	control	treated	0.06	0.182	0.121	0.00316394047339817	393
isoComp_00125758	geneComp_00034292	ENST00000367055.8	SOD2	SOD2	control	treated	0.145	0.249	0.104	0.00323604815458708	394
isoComp_00101569	geneComp_00028400	ENST00000545424.5	PLBD1-AS1	PLBD1-AS1	control	treated	0.588	0.031	-0.557	0.0032411025968981	395
isoComp_00135691	geneComp_00036005	ENST00000589190.1	TMEM86B	TMEM86B	control	treated	0	0.104	0.104	0.00326973519202783	396
isoComp_00022989	geneComp_00012613	ENST00000543365.5	ARHGAP45	ARHGAP45	control	treated	0	0.103	0.103	0.00328348453256791	397
isoComp_00007534	geneComp_00004857	ENST00000540875.1	AC090023.2	AC090023.2	control	treated	0.021	0.859	0.838	0.00332120874731306	398
isoComp_00036893	geneComp_00015140	ENST00000258711.7	CHST12	CHST12	control	treated	0.317	0	-0.317	0.00332120874731306	399
isoComp_00134133	geneComp_00035727	ENST00000529292.5	TM7SF2	TM7SF2	control	treated	0.107	0	-0.107	0.00332120874731306	400
isoComp_00141011	geneComp_00036974	ENST00000395878.8	UBFD1	UBFD1	control	treated	0.107	0.247	0.14	0.00340519811334761	401
