#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
CITED1	ENSG00000125931.11	ENSG00000125931.11:t:72302810-72302934	-0.2105059868128823;0.07187556983096632;0.011492725001018248;0.011492725001018248	0.521566802617335;0.1242489441682102;0.002146604261831636;0.002146604261831636	6.589255084132883e-05;0.0004318245961804773;0.0015654204953172539;0.0015654204953172539	0.290;0.690;0.010;0.010	0.013;0.858;0.064;0.064	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	1;1;1;1	chrX	-	72302934-72307025;72302934-72306477;72302934-72305825;72302934-72305302	72302810-72302934;72305302-72305565;72305825-72305914;72306477-72306987;72307025-72307187		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A72307187-72302810
AC009133.5	ENSG00000280607.1	ENSG00000280607.1:s:29808679-29808741	0.6802199414493838;-0.6802198819654824	0.9999999999999903;0.9999999999999952	2.0503764191488236e-12;1.9388934902053734e-12	0.315;0.685	0.994;0.006	s|1e1.1o1|i	False	False	False	2	2	1;0	chr16	+	29808741-29810077;29808742-29810076	29808679-29808741;29810077-29810227	29808742-29810076	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A29810227-29808679
GAREM2	ENSG00000157833.13	ENSG00000157833.13:s:26176344-26176484	-0.22968182274409743;0.2296818187451738	0.5847418760866987;0.5847419150887933	0.00011116686579648594;0.00011116080468098408	0.379;0.621	0.083;0.917	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr2	+	26176484-26176770;26176484-26182967	26176344-26176484;26176770-nan;26182967-26183097		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A26183097-26176344
CROCCP2	ENSG00000215908.10	ENSG00000215908.10:s:16633095-16633346	-0.0013708095894802079;0.24079758299877246;-0.2374462432264889	5.615759245038287e-21;0.7399457608502562;0.7256856517142859	0.23600847091419974;3.908082363738305e-07;3.6338151476744684e-07	0.038;0.517;0.446	0.034;0.771;0.194	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;1;0	chr1	-	16632769-16633095;16632371-16633095;16632770-16633094	16632275-16632371;16632607-16632769;16633095-16633346	16632770-16633094	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A16633346-16632275
HMGA1	ENSG00000137309.20	ENSG00000137309.20:s:34243468-34243518	7.771559912558427e-16;-0.28362310394033863;0.28628695997385745	4.711629488223859e-21;0.9131681650000079;0.9199258075520411	0.9999999968888909;0.0;9.427116481336903e-23	0.003;0.935;0.062	0.000;0.659;0.341	s|1e1.1o1|1e2.1o4|i	False	False	True	3	3	0;1;0	chr6	+	34243518-34243616;34243518-34244831;34243519-34243615	34243468-34243518;34243616-34243712;34244831-34246231	34243519-34243615	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A34246231-34243468
PTS	ENSG00000150787.8	ENSG00000150787.8:t:112230266-112230682	-0.2037062874787554;0.2037062636117499	0.5259351504651688;0.525935180784496	9.25352601169882e-05;9.253019635044888e-05	0.813;0.187	0.558;0.442	t|1e1.1o2|1e2.1o1	False	False	True	2	3	1;1	chr11	+	112228673-112230626;112230230-112230626	112228594-112229504;112230094-112230230;112230266-112230682		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A112230682-112228594
HNRNPA1	ENSG00000135486.19	ENSG00000135486.19:t:54282843-54282932	-0.003167818326930313;-0.9463306201567281;0.9588142818105274	0.0006112084257557172;0.9999999066754462;0.9999999894087462	0.0008752207213713614;1.0177249820664258e-08;1.7584649403671537e-16	0.027;0.945;0.027	0.000;0.003;0.996	t|1e1.9o9|2e1.8o9|i	True	True	False	3	2	1;0;0	chr12	+	54282669-54282843;54282666-54282849;54282842-54282843	54282573-54282669;54282843-54282932	54282842-54282843	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A54282932-54282573
CRACR2A	ENSG00000130038.10	ENSG00000130038.10:s:3641732-3641838	-0.2565656448373018;0.12920867811850362;0.028883563189047327	0.6693755956438413;0.2838820156472145;0.007225172035163219	0.0001223261846713397;0.00029149986874261666;0.0010406080551493106	0.415;0.575;0.010	0.097;0.806;0.097	s|1e1.1o1|1e2.1o2|1e2.2o2	False	True	True	3	3	1;1;1	chr12	-	3640779-3641732;3638457-3641732;3638454-3641732	3638124-3638457;3640387-3640779;3641732-3641838		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A3641838-3638124
ALG1	ENSG00000033011.13	ENSG00000033011.13:s:5079064-5079106	-0.27492998401582236;0.2749299841083429	0.7485991466616615;0.748599177261979	7.010750289315748e-05;7.01039463770637e-05	0.945;0.055	0.621;0.379	s|1e1.1o1|2e1.1o1	True	False	False	2	2	1;1	chr16	+	5079102-5079748;5079106-5079748	5079064-5079106;5079748-5079807		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A5079807-5079064
PACS2	ENSG00000179364.14	ENSG00000179364.14:s:105381914-105382058	0.24137134703999283;-0.24137130185619543	0.6537190222259963;0.6537187875033239	3.845407118673204e-05;3.845623739484605e-05	0.683;0.317	0.965;0.035	s|1e1.1o1|2e1.1o1	True	False	False	2	2	1;1	chr14	+	105382046-105382477;105382058-105382477	105381914-105382058;105382477-105382581		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A105382581-105381914
ABHD14B	ENSG00000114779.19	ENSG00000114779.19:s:51973965-51974630	-0.20729256322619302;0.0379879462316455;0.1096710069146764;0.016301065005829462	0.5464723543004241;0.0005270096766557278;0.004152357149260988;3.076751438173203e-05	3.1994425765402568e-06;0.0005833346289424847;2.8797263738861726e-05;0.001541724535898771	0.734;0.134;0.011;0.124	0.511;0.196;0.139;0.156	s|1e1.1o1|1e2.1o1|1e3.1o2|i	False	False	True	4	4	1;1;1;0	chr3	-	51971892-51973965;51971698-51973965;51970184-51973965;51971893-51973964	51969943-51970184;51971337-51971698;51971812-51971892;51973965-51974630	51971893-51973964	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A51974630-51969943
ARPC4	ENSG00000241553.12	ENSG00000241553.12:s:9792495-9792866	0.002974990517342276;0.13078170398761751;0.07536257430050976;-0.22828087508090833	0.004900040854329759;0.19046959046537038;0.01328586895696839;0.5805384041253513	0.0005590192462106014;3.673240125808843e-05;0.00022429683185106987;2.6382556895909737e-05	0.174;0.041;0.008;0.777	0.177;0.219;0.127;0.474	s|1e1.2o2|2e1.2o2|3e1.1o2|i	True	True	False	4	2	0;1;0;1	chr3	+	9792560-9797659;9792705-9797659;9792866-9797657;9792866-9793081	9792495-9792866;9797657-9798121	9792866-9793081	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A9798121-9792495
AC000120.3	ENSG00000285953.1	ENSG00000285953.1:s:92245790-92245924	0.4314438775557805;0.08557856816105121;-0.5774880546185264	0.9824380028372643;0.05800977429070919;0.9994134245293995	1.8144166913153513e-05;0.00026982399955366616;7.6084886507787886e-06	0.074;0.042;0.883	0.507;0.172;0.322	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	0;0;1	chr7	-	92245676-92245790;92245574-92245790;92245134-92245790	92244902-92245134;92245427-92245676;92245790-92245924		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A92245924-92244902
AC000120.3	ENSG00000285953.1	ENSG00000285953.1:t:92244902-92245134	-0.22358085218025514;0.0021254823615306055;0.20938312748065044	0.6016046677558446;0.0003733299950916697;0.540222169284306	7.304017952125541e-06;0.001173112136837462;1.4388529968003115e-05	0.422;0.149;0.428	0.167;0.158;0.674	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;0;0	chr7	-	92245134-92245790;92245134-92245427;92245135-92245426	92244902-92245134;92245427-92245676;92245790-92245924	92245135-92245426	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A92245924-92244902
DNAJB1	ENSG00000132002.9	ENSG00000132002.9:s:14527358-14527810	-0.06461646777702454;-3.4601273363236835e-05;-0.0017729686460736737;0.20906567346542332;-3.4601273363236835e-05;-3.4601273363236835e-05;-0.02486637126592625;-3.4601273363236835e-05;-3.4601273363236835e-05;-0.016334221581544985	0.05170324267026029;7.328224117162627e-09;1.288939749476898e-05;0.5559398557354395;7.328224117162627e-09;7.328224117162627e-09;0.0006310036407686861;7.328224117162627e-09;7.328224117162627e-09;0.010018420022697472	0.00015836502781341188;0.013278294614097463;0.004837487282694952;3.4630887484601386e-06;0.013278294614097463;0.013278294614097463;0.0010772335651326737;0.013278294614097463;0.013278294614097463;0.000425033031060007	0.288;0.002;0.041;0.041;0.002;0.002;0.079;0.002;0.002;0.543	0.162;0.001;0.036;0.271;0.001;0.001;0.024;0.001;0.001;0.499	s|1e1.1o2|1e2.3o3|1e3.1o1|2e4.1o2|2e4.2o2|2e5.3o3|2e6.1o1|2e7.1o1|3e8.1o1|i	True	True	True	10	9	1;1;1;1;1;1;1;1;1;0	chr19	-	14526612-14527726;14518268-14527726;14517046-14527726;14526612-14527687;14526198-14527687;14518268-14527687;14517046-14527687;14516170-14527687;14517046-14527358;14526613-14527357	14514769-14516170;14516466-14517046;14518139-14518407;14525367-14526612;14527358-14527810	14526613-14527357	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A14527810-14514769
ZNF136	ENSG00000196646.12	ENSG00000196646.12:s:12163064-12163206	-0.0004062712878357606;0.006511819418237677;-0.0004062712878357606;0.2675459813970461;-0.30841593516456434	8.189337249887168e-06;3.5155143352620876e-05;8.189337249887168e-06;0.6880433955229305;0.7738298159409925	0.005043465438823613;0.004550817306945565;0.005043465438823613;0.00013044695953212063;0.00011206646615891103	0.008;0.008;0.008;0.201;0.776	0.004;0.045;0.004;0.534;0.412	s|1e1.1o1|1e2.1o2|1e3.1o1|1e4.2o3|1e5.1o1	False	False	True	5	6	1;1;1;1;1	chr19	+	12163206-12163760;12163206-12164466;12163206-12169282;12163206-12185785;12163206-12186114	12163064-12163206;12163760-12163816;12164466-12164874;12169282-12169391;12184618-12185911;12186114-12186174		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A12186174-12163064
BCAS3	ENSG00000141376.23	ENSG00000141376.23:t:60889695-60889742	-0.29877569532879134;-0.00013592772163197373;0.08489087596657438;0.14029982252392564;0.0021531637260560612;-0.004437420983165949	0.7567671602819717;1.2971400005200025e-06;0.0909918887987412;0.30781356356636613;7.2375542688544585e-06;7.960339762826723e-05	0.00010783669730296541;0.0076512003221699265;0.00030740561929538425;0.00023270065367632028;0.006484665457838504;0.0035155015383186994	0.699;0.005;0.066;0.186;0.005;0.036	0.344;0.004;0.209;0.414;0.027;0.004	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o2|1e4.2o2	True	False	True	6	5	1;1;1;1;1;1	chr17	+	60874738-60889695;60886483-60889695;60887126-60889695;60887211-60889695;60887311-60889695;60887447-60889695	60874662-60874738;60886383-60886483;60887050-60887211;60887239-60887447;60889695-60889742		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A60889742-60874662
MFSD8	ENSG00000164073.11	ENSG00000164073.11:t:127920618-127920836	0.0061451368721851755;-0.21537976012345098;0.1890208988113085	0.0005606177139149203;0.5572355749720338;0.4423374103385896	0.002289059136146576;0.00010881799145756599;8.942141598291967e-05	0.019;0.963;0.019	0.049;0.677;0.274	t|1e1.1o1|1e2.1o3|1e3.1o1	False	False	True	3	4	1;1;1	chr4	-	127920836-127942045;127920836-127921524;127920836-127921118	127920618-127920836;127921118-127921198;127921357-127921771;127942045-127942047		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A127942047-127920618
BX890604.1	ENSG00000285756.2	ENSG00000285756.2:s:3891438-3893351	-0.09721405432849489;-0.3430232913016575;-0.002125798958411;0.5286592397645701	0.1424641148640356;0.8902343020196405;2.4768335335569782e-05;0.9999979711018464	8.665233243532189e-05;3.7960123581148864e-06;0.004119723902208827;1.3733681138531358e-08	0.375;0.585;0.033;0.007	0.204;0.221;0.030;0.547	s|1e1.1o1|1e2.1o7|1e3.1o2|i	False	False	True	4	4	0;1;1;0	chrX	-	3886915-3893116;3867806-3893116;3863645-3893116;3886916-3891437	3863502-3863645;3866922-3867806;3886622-3886915;3891438-3893351	3886916-3891437	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A3893351-3863502
AC108479.1	ENSG00000287670.1	ENSG00000287670.1:t:88020696-88021451	0.2178109843313356;-0.11236643043855074;-0.03700977971802583	0.5228510404269685;0.2252898786775347;0.017278015217384615	0.00020529819633500687;0.00031956205885119715;0.0008130532192609508	0.563;0.320;0.117	0.883;0.103;0.015	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr2	+	88016868-88020696;88017291-88020696;88020601-88020696	88016780-88016868;88017017-88017291;88020510-88020601;88020696-88021451		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A88021451-88016780
MCM9	ENSG00000111877.17	ENSG00000111877.17:t:118931420-118931738	-0.2625527264319947;0.262552782923956	0.6206647687631779;0.6206647109717043	0.00020521219363089926;0.00020520300582916803	0.784;0.216	0.421;0.579	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr6	-	118931738-118934891;118931738-118932607	118931420-118931738;118932607-118932740;118934891-118935162		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A118935162-118931420
CYBC1	ENSG00000178927.18	ENSG00000178927.18:s:82450700-82450829	-1.0555586116992968e-05;-0.0013728905305406477;-0.0006440870812841304;-1.0555586116992968e-05;0.26770590127122623;-1.0555586116992968e-05;-1.0555586116992968e-05;-0.030276961058015292;-1.0555586116992968e-05;-0.18703050107408464	4.942759084265813e-21;1.8973543969580507e-05;3.319041326382048e-08;4.942759084265813e-21;0.7868270337548717;4.942759084265813e-21;4.942759084265813e-21;0.0006419058704301278;4.942759084265813e-21;0.3979163675069095	0.04776591807129915;0.005076539500893151;0.02259604350184341;0.04776591807129915;2.0223731943420024e-05;0.04776591807129915;0.04776591807129915;0.0014320673675382034;0.04776591807129915;1.1344148450609381e-05	0.002;0.062;0.017;0.002;0.598;0.002;0.002;0.090;0.002;0.227	0.001;0.058;0.001;0.001;0.888;0.001;0.001;0.036;0.001;0.013	s|1e1.1o2|1e1.2o2|1e2.2o2|1e3.2o2|1e4.2o2|1e5.2o2|1e6.3o3|1e7.1o2|1e7.2o2|1e8.1o4	False	True	True	10	9	1;1;1;1;1;1;1;1;1;1	chr17	-	82450278-82450700;82450254-82450700;82449956-82450700;82449480-82450700;82449292-82450700;82447927-82450700;82447621-82450700;82446696-82450700;82446692-82450700;82445960-82450700	82445251-82445960;82446623-82446696;82447580-82447681;82447851-82448053;82448854-82449320;82449431-82449605;82449755-82450109;82450199-82450278;82450700-82450829		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A82450829-82445251
KRIT1	ENSG00000001631.16	ENSG00000001631.16:t:92245427-92245676	0.23290310264949515;-0.03977868851357988;0.030241075573110947;-0.2673888822563425;-0.0002912193725353838;0.04185322625144369	0.6637247671509557;0.009068226524305365;0.00010097838342585299;0.7131194180429714;2.267350739258918e-06;0.002017677012726964	6.495011903166704e-05;0.0008867418734246346;0.0023882187937411016;9.979698356243905e-05;0.00584862222892657;0.0007341414052105741	0.072;0.105;0.006;0.773;0.006;0.039	0.340;0.015;0.077;0.449;0.002;0.114	t|1e1.1o1|2e2.1o1|2e3.1o2|2e4.1o1|3e5.1o2|3e6.1o1	False	True	True	6	7	0;1;1;1;1;0	chr7	-	92245676-92245790;92245595-92245906;92245595-92245844;92245595-92245790;92245574-92245844;92245574-92245790	92245427-92245676;92245790-92245795;92245822-92245871;92245906-92246166		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A92246166-92245427
MEIS1	ENSG00000143995.20	ENSG00000143995.20:s:66568667-66568756	-0.24342381815269737;0.24342381088649484	0.6027201962676535;0.6027202003713733	0.00017349859831861103;0.00017349030554909134	0.770;0.230	0.441;0.559	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr2	+	66568756-66569050;66568756-66571246	66568667-66568756;66569050-66569145;66571246-66573869		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A66573869-66568667
FBXO44	ENSG00000132879.14	ENSG00000132879.14:s:11658267-11658393	-0.007690474058782176;-0.19592235318762785;0.2143967898644124	7.32607613837289e-06;0.490538758887889;0.5745692121082314	0.006471648682704667;6.950170541675238e-05;6.324545313877818e-05	0.055;0.355;0.589	0.035;0.125;0.840	s|1e1.1o2|1e2.1o1|2e3.1o2	True	False	True	3	4	1;1;1	chr1	+	11658364-11658533;11658364-11658736;11658393-11658533	11658267-11658393;11658533-11658628;11658736-11658871		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A11658871-11658267
RPS6KA5	ENSG00000100784.12	ENSG00000100784.12:t:90906149-90906299	-0.10069159150246901;0.2929313159790305;-0.008927948354052816;-0.02636283434459838	0.1999925858701807;0.7709262417118334;0.0007456508977137627;0.006217133334557546	9.502128103966445e-05;1.1423829494091513e-05;0.0011050696395157322;0.0005325771861938167	0.799;0.053;0.053;0.091	0.589;0.395;0.008;0.008	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	1;1;1;0	chr14	-	90906299-90920206;90906299-90919280;90906299-90911300;90906300-90911299	90906149-90906299;90911300-90911469;90919280-90919466;90920206-90920309	90906300-90911299	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A90920309-90906149
N6AMT1	ENSG00000156239.12	ENSG00000156239.12:s:28882160-28882250	0.2116481076996638;-0.21164805514675994	0.5634130649290594;0.5634127924799726	5.004423031238423e-05;5.004703754052375e-05	0.541;0.459	0.777;0.223	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr21	-	28879953-28882160;28878333-28882160	28878192-28878333;28879870-28879953;28882160-28882250		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A28882250-28878192
DNAH8	ENSG00000124721.18	ENSG00000124721.18:s:38832322-38832435	0.38747230394069054;-0.38747230368321006	0.9259050423961076;0.9259050396974854	4.5947766263707446e-05;4.594995416506986e-05	0.443;0.557	0.855;0.145	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr6	+	38832435-38834579;38832435-38837942	38832322-38832435;38834579-38834641;38837942-38838042		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A38838042-38832322
ANO9	ENSG00000185101.13	ENSG00000185101.13:s:428088-428247	0.15403486725157745;0.20833314163198136;-0.33513622691735023;-0.022700037537467535	0.23318549275298645;0.5516013636640688;0.873511973283013;0.008686276577206402	1.552837098797941e-05;3.366812305146645e-06;5.612071348193304e-06;0.00045172193634401836	0.028;0.028;0.729;0.212	0.211;0.261;0.368;0.151	s|1e1.1o1|1e2.1o1|1e3.2o2|i	False	False	True	4	4	0;0;1;0	chr11	-	425317-428088;424187-428088;421198-428088;421287-428087	nan-424187;nan-425317;421141-421286;428088-428247	421287-428087	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A428247-421141
CMC4	ENSG00000182712.16	ENSG00000182712.16:t:155063966-155064033	0.045432884839981084;-0.26649085849720466;0.17819806981538114	0.003292618509106979;0.7571868118741586;0.41436391033920794	0.0008361918489309889;4.780913922142194e-05;9.989467614849386e-05	0.028;0.881;0.091	0.108;0.581;0.310	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	0;1;1	chrX	-	155064033-155070964;155064033-155070694;155064033-155064937	155063966-155064033;155064937-155065368;155070694-155071136		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A155071136-155063966
FAM178B	ENSG00000168754.15	ENSG00000168754.15:t:96893926-96894051	7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;-0.2683372686367119;7.771559912558427e-16;7.771559912558427e-16;-0.01336258799649726;0.2686505491713979	4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;0.8629189948786227;4.711629488223859e-21;4.711629488223859e-21;7.306624807638604e-21;0.8225549454017738	0.9999999968888909;0.9999999968888909;0.9999999968888909;0.9999999968888909;0.0;0.9999999968888909;0.9999999968888909;0.2173657701597712;6.108541667181866e-23	0.012;0.000;0.003;0.001;0.884;0.000;0.018;0.084;0.000	0.014;0.000;0.002;0.002;0.607;0.002;0.019;0.068;0.279	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|1e6.1o2|1e6.2o2|i	True	False	True	9	7	1;1;0;0;1;0;0;0;0	chr2	-	96894051-96902620;96894051-96897914;96894051-96895447;96894051-96895240;96894051-96895061;96894051-96895032;96894051-96894190;96894051-96894184;96894052-96894183	96893926-96894051;96894184-96894228;96895032-96895162;96895240-nan;96895447-nan;96897914-96898133;96902620-96902707	96894052-96894183	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A96902707-96893926
TAF6	ENSG00000106290.15	ENSG00000106290.15:t:100118396-100118649	-0.22995745107435378;-0.017396416043189977;0.2976644313651864	0.6176021198761585;0.0017028958305357663;0.8100337204361013	4.7413005546226294e-05;0.0015948875211797553;6.0455098099383275e-05	0.305;0.076;0.619	0.017;0.017;0.967	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	0;1;1	chr7	-	100118649-100119329;100118649-100119232;100118649-100119204	100118396-100118649;100119204-100119317;100119329-100119372		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A100119372-100118396
AC022031.2	ENSG00000267284.2	ENSG00000267284.2:s:na-55733140	0.14721701447605368;-0.3653790648762222;0.14603043203808025	0.2758834015734436;0.9396370110748913;0.2002742339726396	0.0001315269940901202;2.9026201613269187e-05;8.511466383654721e-05	0.045;0.944;0.011	0.239;0.564;0.198	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0;0;0	chr18	+	55733140-55754065;55733140-55759040;55733140-55762545	nan-55733140;55754065-nan;55759040-55759122;55762545-55762598		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A55762598-55733130
ZNF652	ENSG00000198740.9	ENSG00000198740.9:s:49316826-49317983	-0.13502406339477446;0.24351323872215636;-0.032040813714245574	0.28967289495920134;0.6046923029441479;0.004270587131363683	6.342264554815014e-05;2.779321325278362e-05;0.0005806350042099062	0.474;0.434;0.093	0.233;0.758;0.009	s|1e1.1o1|2e1.1o1|i	True	False	False	3	2	1;1;0	chr17	-	49312845-49317366;49312845-49316826;49312846-49316825	49312698-49312845;49316826-49317983	49312846-49316825	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A49317983-49312698
NME1-NME2	ENSG00000011052.21	ENSG00000011052.21:t:51166827-51166956	0.3592050379130273;0.011018597145007785;-0.3731982710195204	0.8686819112428272;0.0005436326420358101;0.8893532658787116	6.2696405065967595e-06;0.0010346513444622618;1.1703341376012588e-06	0.518;0.096;0.387	0.878;0.117;0.005	t|1e1.1o1|2e2.1o1|i	False	True	True	3	3	1;0;0	chr17	+	51161272-51166827;51166460-51166879;51161273-51166826	nan-51166460;51161160-51161272;51166827-51166956	51161273-51166826	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A51166956-51161160
MCM3AP-AS1	ENSG00000215424.10	ENSG00000215424.10:t:46249586-46251871	0.5685701870186861;-0.5685701962906443	0.9992743857291975;0.9992743320580086	3.2143239115559567e-06;3.2154495017699958e-06	0.416;0.584	0.972;0.028	t|1e1.1o3|i	False	False	False	2	2	1;0	chr21	+	46241019-46249586;46246293-46249585	46240834-46242999;46249586-46251871	46246293-46249585	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A46251871-46240834
AC105052.3	ENSG00000267645.5	ENSG00000267645.5:s:102644394-102644562	-0.4140531968435499;0.4140532587405769	0.9978749031616162;0.9978749671617647	6.43509984188384e-08;6.424901793834417e-08	0.987;0.013	0.568;0.432	s|1e1.1o1|i	False	False	False	2	2	0;0	chr7	-	102643869-102644394;102643870-102644393	102643421-102643869;102644394-102644562	102643870-102644393	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A102644562-102643421
COQ8B	ENSG00000123815.13	ENSG00000123815.13:s:40716862-40716920	-0.4842639935792077;0.4832301920429611;-0.00013422005669198197	0.9425629310664162;0.938037865866291;0.00014953253425044105	0.00010162955035808441;0.0001083538206930728;0.0028794816982293803	0.618;0.365;0.017	0.110;0.875;0.016	s|1e1.5o5|1e2.5o5|1e3.1o1	False	False	True	3	4	1;1;1	chr19	-	40716703-40716862;40714635-40716862;40714397-40716862	40714278-40714397;40714531-40714785;40716587-40716800;40716862-40716920		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A40716920-40714278
CNTRL	ENSG00000119397.17	ENSG00000119397.17:s:121115091-121115200	-0.25862175920280905;0.2677356374001254;-0.000967972039343857	0.7391755081895289;0.7891363714132307;4.972052381474438e-05	4.528895365507601e-06;2.173214142687799e-06;0.002096943443216981	0.764;0.146;0.089	0.473;0.438;0.085	s|1e1.1o3|1e1.2o3|i	False	True	False	3	2	1;0;0	chr9	+	121115200-121118346;121115200-121118421;121115201-121118345	121115091-121115200;121118346-121118571	121115201-121118345	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A121118571-121115091
MDC1-AS1	ENSG00000224328.1	ENSG00000224328.1:s:30703067-30703554	-0.00017176445026439871;-0.6665612963301598;-0.2570416786072903;0.9373231353921362	7.642529542838653e-08;0.9999999809194098;0.7622245057462431;1.0	0.008616598020676824;3.134159598516817e-13;1.7986738110042921e-07;0.00022318593055686365	0.005;0.689;0.300;0.005	0.000;0.041;0.016;0.943	s|1e1.1o1|2e2.1o1|3e2.1o1|i	True	False	True	4	3	1;0;0;0	chr6	+	30703193-30712312;30703515-30703621;30703554-30703621;30703555-30703620	30703067-30703554;30703621-30704183;30712312-30712425	30703555-30703620	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A30712425-30703067
MYO16	ENSG00000041515.16	ENSG00000041515.16:s:108780147-108780325	0.32198690248526607;-0.321986847238434	0.8029559871070082;0.8029559912564199	0.00010795534188005667;0.00010796054721307069	0.111;0.889	0.484;0.516	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0;0	chr13	+	108780325-108780430;108780325-108785635	108780147-108780325;108780430-108780537;108785635-108785743		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A108785743-108780147
